avg_questions_used,avg_words_used,conversation_id,cost_post_decision_usd,cost_used_usd,decision_class,decision_turn,model,output_tokens_post_decision,output_tokens_used,repetitiveness_used,turns_total,turns_used,wasted_turns_post_decision
1.0,37.5,conversa_2026-01-05_10-03-40.json,,,Desqualificado,1,gpt,0,104,0.1206896551724138,2,2,0
1.5,35.5,conversa_2026-01-05_10-03-40.json,,,Desqualificado,1,gemini,0,102,0.11475409836065574,2,2,0
3.8125,65.0625,conversa_2026-01-05_17-19-26.json,,,,,gpt,0,1648,0.24547069145707628,16,16,0
1.5,44.833333333333336,conversa_2026-01-05_17-19-26.json,,,Qualificado,5,gemini,1460,412,0.1713368700265252,16,6,10
3.3125,74.3125,conversa_2026-01-05_17-25-11.json,,,,,gpt,0,1840,0.2327699881199803,16,16,0
1.0,50.0,conversa_2026-01-05_17-25-11.json,,,Desqualificado,2,gemini,1625,221,0.15443969610636277,16,3,13
1.5,45.0,conversa_2026-01-05_17-33-21.json,,,Desqualificado,1,gpt,0,137,0.10144927536231885,2,2,0
1.0,54.0,conversa_2026-01-05_17-33-21.json,,,Desqualificado,1,gemini,0,161,0.08333333333333333,2,2,0
1.6666666666666667,49.666666666666664,conversa_2026-01-05_17-47-45.json,,,Desqualificado,2,gpt,0,221,0.1750537634408602,3,3,0
1.5,47.0,conversa_2026-01-05_17-47-45.json,,,Desqualificado,1,gemini,100,136,0.08196721311475409,3,2,1
3.0,75.5,conversa_2026-01-05_17-53-54.json,,,Qualificado,1,gpt,153,238,0.16831683168316833,3,2,1
1.6666666666666667,36.333333333333336,conversa_2026-01-05_17-53-54.json,,,,,gemini,0,167,0.2586848635235732,3,3,0
3.25,68.75,conversa_2026-01-05_18-03-31.json,,,Qualificado,3,gpt,101,404,0.21764310562934852,5,4,1
1.6,49.6,conversa_2026-01-05_18-03-31.json,,,Qualificado,4,gemini,0,380,0.21917122536654343,5,5,0
1.5,64.5,conversa_2026-01-05_18-04-47.json,,,Qualificado,1,gpt,157,197,0.11578947368421053,3,2,1
1.0,52.666666666666664,conversa_2026-01-05_18-04-47.json,,,Qualificado,2,gemini,0,241,0.21939792663476873,3,3,0
3.2,76.6,conversa_2026-01-05_18-07-51.json,,,Qualificado,4,gpt,0,577,0.2551933620781433,5,5,0
1.0,51.0,conversa_2026-01-05_18-07-51.json,,,Qualificado,1,gemini,387,148,0.03278688524590164,5,2,3
3.375,66.25,conversa_2026-01-05_18-11-05.json,,,Qualificado,7,gpt,0,846,0.24245556472574467,8,8,0
1.25,49.125,conversa_2026-01-05_18-11-05.json,,,Qualificado,7,gemini,0,612,0.16898021633466326,8,8,0
2.3333333333333335,47.666666666666664,conversa_2026-01-05_18-12-44.json,,,Desqualificado,2,gpt,0,209,0.20788177339901479,3,3,0
1.0,55.5,conversa_2026-01-05_18-12-44.json,,,Desqualificado,1,gemini,118,152,0.07142857142857142,3,2,1
2.0,52.666666666666664,conversa_2026-01-05_18-13-34.json,,,Desqualificado,2,gpt,0,229,0.21593366979091563,3,3,0
1.0,41.5,conversa_2026-01-05_18-13-34.json,,,Desqualificado,1,gemini,101,120,0.016129032258064516,3,2,1
2.0,59.5,conversa_2026-01-05_18-15-28.json,,,Desqualificado,1,gpt,103,188,0.2073170731707317,3,2,1
1.3333333333333333,61.666666666666664,conversa_2026-01-05_18-15-28.json,,,Desqualificado,2,gemini,0,282,0.12900842323038275,3,3,0
2.6,61.4,conversa_2026-01-05_18-19-23.json,,,Desqualificado,4,gpt,912,465,0.24813391397170403,13,5,8
1.4615384615384615,40.76923076923077,conversa_2026-01-05_18-19-23.json,,,,,gemini,0,786,0.20182108850010144,13,13,0
3.3076923076923075,61.61538461538461,conversa_2026-01-05_18-30-06.json,,,,,gpt,0,1245,0.2354545710810293,13,13,0
1.4615384615384615,40.07692307692308,conversa_2026-01-05_18-30-06.json,,,,,gemini,0,794,0.1799573455389192,13,13,0
2.857142857142857,59.714285714285715,conversa_2026-01-05_18-33-45.json,,,Qualificado,6,gpt,0,652,0.25128164556962024,7,7,0
1.2,52.8,conversa_2026-01-05_18-33-45.json,,,Qualificado,4,gemini,336,397,0.22016950369891547,7,5,2
2.923076923076923,59.38461538461539,conversa_2026-01-05_18-46-23.json,,,,,gpt,0,1163,0.22879756366469683,13,13,0
1.3076923076923077,57.30769230769231,conversa_2026-01-05_18-46-23.json,,,,,gemini,0,1097,0.25881523828344993,13,13,0
2.4615384615384617,66.84615384615384,conversa_2026-01-05_18-50-43.json,,,,,gpt,0,1340,0.21774177375719908,13,13,0
1.25,60.916666666666664,conversa_2026-01-05_18-50-43.json,,,Desqualificado,11,gemini,109,1096,0.1885557483344136,13,12,1
3.230769230769231,52.69230769230769,conversa_2026-01-05_18-57-04.json,,,Qualificado,12,gpt,0,1108,0.19364723893817243,13,13,0
1.2857142857142858,35.285714285714285,conversa_2026-01-05_18-57-04.json,,,Qualificado,6,gemini,612,395,0.15355944936345128,13,7,6
3.125,52.875,conversa_2026-01-05_19-02-14.json,,,Qualificado,7,gpt,555,645,0.20183046537644714,13,8,5
1.4615384615384615,39.92307692307692,conversa_2026-01-05_19-02-14.json,,,,,gemini,0,777,0.18201344872269162,13,13,0
